OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
4807,3389    0821,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2005-12-08T00:00:00.000Z,0,U,1903,2012,1976,1,5444,42,11814,2018-09-17T09:53:41.000Z
4808,3389    0822,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2018-03-26T00:00:00.000Z,1700000,Q,1932,2014,1983,3,5481,42,7475,2018-09-17T09:53:41.000Z
4809,3389    0822,2,1,C,Brick/Concr,30,Average,BR,Brick,12,,2018-03-26T00:00:00.000Z,1700000,Q,1932,,1941,3,4946,42,7475,2018-09-17T09:53:41.000Z
4810,3390    0117,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,12,,2017-02-10T00:00:00.000Z,1690000,U,1948,2004,1975,3,2000,41,3989,2018-09-17T09:53:41.000Z
4811,3390    0118,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,12,,2017-02-10T00:00:00.000Z,1690000,U,1948,,1970,3,1680,41,3210,2018-09-17T09:53:41.000Z
4812,3390    0119,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,12,,2017-02-10T00:00:00.000Z,1690000,U,1948,2014,1983,6,1600,41,3038,2018-09-17T09:53:41.000Z
4813,3390    0120,1,1,C,Brick/Concr,30,Average,BR,Brick,8,2,1997-01-29T00:00:00.000Z,275000,Q,1936,,1936,1,5489,81,5513,2018-09-17T09:53:41.000Z
4814,3390    0804,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,23,1900-01-01T00:00:00.000Z,,U,1935,1991,1959,1,22548,29,13225,2018-09-17T09:53:41.000Z
4815,3390    0806,1,1,C,Brick/Concr,35,Average +,BV,Brick Veneer,9,11,2013-08-07T00:00:00.000Z,1099000,Q,1936,,1976,1,9369,21,5750,2018-09-17T09:53:41.000Z
4816,3390    0808,1,1,C,Brick/Concr,30,Average,BR,Brick,8,4,2018-05-18T00:00:00.000Z,1500000,Q,1935,,1969,3,2994,1,7876,2018-09-17T09:53:41.000Z
4817,3390    0809,1,1,C,Brick/Concr,40,Good,BR,Brick,8,12,1900-01-01T00:00:00.000Z,,U,1937,2011,1999,1,15191,29,8506,2018-09-17T09:53:41.000Z
4818,3390    0810,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,20,2007-08-03T00:00:00.000Z,1206500,Q,1942,,1978,1,21216,21,8506,2018-09-17T09:53:41.000Z
4819,3390    0811,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,13,2016-07-22T00:00:00.000Z,1014330,Q,1937,,1979,3,12156,21,6887,2018-09-17T09:53:41.000Z
